eventDate,year,stateProvince,locality,longitude,latitude
1900-01-01T00:00:00Z,1900,Queensland,Lake Clarendon,152.344091,-27.508681
1900-01-01T00:00:00Z,1900,Queensland,Green Swamp East Water Reserve,152.370235,-27.469081
1900-01-01T00:00:00Z,1900,Queensland,Lake Apex,152.269799,-27.572632
1935-01-01T00:00:00Z,1935,Queensland,Gordonvale,145.784444,-17.098333
1935-06-22T00:00:00Z,1935,Queensland,Gordonvale District,145.784436,-17.098465
1936-01-01T00:00:00Z,1936,Queensland,"Macknade, 9ml N Ingham",146.251111,-18.581667
1936-01-01T00:00:00Z,1936,Queensland,Cairns District,145.66777,-16.898466
1936-01-01T00:00:00Z,1936,Queensland,Tully District,145.93444,-17.931795
1936-01-01T00:00:00Z,1936,Queensland,"Hawkins Ck, N Ingham",146.084444,-18.615
1936-01-01T00:00:00Z,1936,Queensland,Cairns District,145.751111,-16.915
1936-01-01T00:00:00Z,1936,Queensland,"Fishery Falls, 24ml S Cairns",145.884444,-17.181667
1936-01-01T00:00:00Z,1936,Queensland,Innisfail District,146.034436,-17.531796
1936-01-01T00:00:00Z,1936,Queensland,5km S Innisfail,146.017778,-17.565
1936-01-01T00:00:00Z,1936,Queensland,N of Cardwell,145.967778,-18.215
1936-01-01T00:00:00Z,1936,Queensland,Tully,145.934444,-17.931667
1936-01-01T00:00:00Z,1936,Queensland,Gordonvale District,145.784444,-17.098333
1937-01-01T00:00:00Z,1937,Queensland,Babinda District,145.934444,-17.298333
1937-01-01T00:00:00Z,1937,Queensland,Isis District,152.451055,-25.181746
1937-01-01T00:00:00Z,1937,Queensland,Bundaberg,152.351111,-24.865
1937-01-01T00:00:00Z,1937,Queensland,Hambledon area,145.717778,-17.015
1937-01-01T00:00:00Z,1937,Queensland,Mackay District,149.184417,-21.148433
1937-01-01T00:00:00Z,1937,Queensland,Bundaberg District,152.334388,-24.931748
1937-01-01T00:00:00Z,1937,Queensland,South Johnstone,146.001111,-17.598333
1937-01-01T00:00:00Z,1937,Queensland,Isis,152.251111,-25.215
1937-01-01T00:00:00Z,1937,Queensland,Mossman District,145.384444,-16.465
1937-01-01T00:00:00Z,1937,Queensland,Babinda District,145.917769,-17.348463
1937-01-01T00:00:00Z,1937,Queensland,Ayr District,147.401111,-19.565
1937-01-01T00:00:00Z,1937,Queensland,Ayr,147.409444,-19.573333
1937-01-01T00:00:00Z,1937,Queensland,Babinda,145.921944,-17.34
1937-01-01T00:00:00Z,1937,Queensland,"Flying Fish Pt, 4ml E Innisfail",146.074722,-17.498333
1937-01-01T00:00:00Z,1937,Queensland,Ingham District,146.15111,-18.648457
1937-01-01T00:00:00Z,1937,Queensland,Bundaberg,152.351111,-24.865
1937-01-01T00:00:00Z,1937,Queensland,Bambaroo District,146.20111,-18.865122
1937-01-01T00:00:00Z,1937,Queensland,Bundaberg District,152.351111,-24.865
1937-01-01T00:00:00Z,1937,Queensland,Mackay District,149.184444,-21.148333
1937-01-01T00:00:00Z,1937,Queensland,Giru District,147.1011,-19.515116
1937-01-01T00:00:00Z,1937,Queensland,Bambaroo District,146.201111,-18.865
1937-01-01T00:00:00Z,1937,Queensland,Gordonvale,145.784444,-17.094167
1937-01-01T00:00:00Z,1937,Queensland,10ml S Gordonvale,145.884444,-17.181667
1937-01-01T00:00:00Z,1937,Queensland,Mackay,149.167778,-21.148333
1937-01-01T00:00:00Z,1937,Queensland,Ayr District,147.401097,-19.581782
1937-01-01T00:00:00Z,1937,Queensland,Mossman,145.376111,-16.460833
1937-01-01T00:00:00Z,1937,Queensland,Mackay,149.184444,-21.148333
1937-01-01T00:00:00Z,1937,Queensland,30ml S Ingham,146.317778,-18.981667
1937-01-01T00:00:00Z,1937,Queensland,Little Mulgrave area,145.717778,-17.14
1937-01-01T00:00:00Z,1937,Queensland,Mossman District,145.367771,-16.465137
1937-01-01T00:00:00Z,1937,Queensland,9ml NE Ingham,146.259444,-18.598333
1937-01-01T00:00:00Z,1937,Queensland,"Biboohra, 8km NW Mareeba",145.417778,-16.915
1937-01-01T00:00:00Z,1937,Queensland,Giru,147.105278,-19.515
1937-01-01T00:00:00Z,1937,Queensland,Barmbaroo,146.192778,-18.856667
1937-01-01T00:00:00Z,1937,Queensland,Ingham District,146.167778,-18.648333
1937-01-01T00:00:00Z,1937,Queensland,Giru District,147.101111,-19.515
1937-01-01T00:00:00Z,1937,Queensland,"Horse Shoe Bend (Swamp), Ingham",146.051111,-18.631667
1938-01-01T00:00:00Z,1938,Queensland,Isis [Junction],152.451111,-25.215
1938-01-01T00:00:00Z,1938,Queensland,South Johnstone,146.001111,-17.598333
1938-01-01T00:00:00Z,1938,Queensland,"Mena Ck, 10ml S Innisfail",145.951111,-17.656667
1938-01-01T00:00:00Z,1938,Queensland,Bundaberg,152.351111,-24.865
1938-01-01T00:00:00Z,1938,Queensland,Meringa District,145.784436,-17.081798
1939-01-01T00:00:00Z,1939,Queensland,"Halifax, 12ml E Ingham",146.284444,-18.581667
1939-01-01T00:00:00Z,1939,Queensland,Lowmead,151.751111,-24.531667
1939-01-01T00:00:00Z,1939,Queensland,16ml SW Bundaberg,152.217778,-25.031667
1939-01-01T00:00:00Z,1939,Queensland,"Upper Stone area, Ingham",145.967778,-18.731667
1939-01-01T00:00:00Z,1939,Queensland,Ingham,146.167778,-18.648333
1940-01-01T00:00:00Z,1940,Queensland,Mackay East,149.201111,-21.148333
1940-01-01T00:00:00Z,1940,Queensland,Babinda,145.934444,-17.348333
1940-01-01T00:00:00Z,1940,Queensland,"Dundula, 6ml S Mackay",149.155278,-21.206667
1940-01-01T00:00:00Z,1940,Queensland,Near Euramo,145.934444,-17.998333
1940-01-01T00:00:00Z,1940,Queensland,Tully,145.934444,-17.931667
1940-01-01T00:00:00Z,1940,Queensland,Home Hill town,147.417778,-19.665
1940-01-01T00:00:00Z,1940,Queensland,Brandon via Ayr,147.351111,-19.548333
1940-01-01T00:00:00Z,1940,Queensland,Bowen,148.251111,-20.015
1940-01-01T00:00:00Z,1940,Queensland,0.5ml W Tully PO,145.917778,-17.931667
